default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.232,-0.127,-0.246,-0.311,-0.312,-0.350,-0.351,-0.359,-0.360,-0.363,-0.456
0.100,0.745,0.384,0.294,0.045,0.030,0.029,-0.157,-0.186,-0.187,-0.188,-0.251
0.200,1.113,0.785,0.765,0.647,0.603,0.423,0.264,0.059,0.047,0.040,0.038
0.300,1.560,1.423,1.242,1.241,1.240,1.117,0.784,0.443,0.305,0.292,0.291
0.400,2.180,1.910,1.681,1.581,1.499,1.155,0.965,0.806,0.805,0.804,0.803
0.500,3.030,2.760,2.570,2.440,2.350,2.300,2.260,2.220,2.160,2.070,1.940
